trade_date,open,high,low,close,volume
2023-01-01 16:00:00,1196.86,1224.64,1192.9,1218.83,75528.014053
2023-01-02 16:00:00,1218.83,1224.0,1204.98,1211.99,35522.347153
2023-01-03 16:00:00,1211.88,1263.32,1205.3,1255.86,144152.101462
2023-01-04 16:00:00,1255.86,1273.55,1243.0,1249.45,90744.953901
2023-01-05 16:00:00,1249.45,1265.0,1235.08,1262.89,85624.683856
2023-01-06 16:00:00,1263.01,1276.99,1260.29,1265.06,48463.810629
2023-01-07 16:00:00,1265.05,1275.54,1257.8,1274.44,35131.947986
2023-01-08 16:00:00,1274.45,1341.9,1262.01,1335.82,194735.943795
2023-01-09 16:00:00,1335.61,1344.61,1315.56,1334.0,112737.925774
2023-01-10 16:00:00,1334.01,1347.18,1321.0,1323.25,98710.199898
2023-01-11 16:00:00,1323.14,1420.0,1321.73,1385.58,305541.831405
2023-01-12 16:00:00,1385.58,1438.98,1383.12,1421.53,153965.000742
2023-01-13 16:00:00,1421.72,1640.68,1407.0,1525.74,347347.397807
2023-01-14 16:00:00,1525.62,1562.0,1516.11,1556.23,101442.424166
2023-01-15 16:00:00,1556.23,1584.59,1521.24,1549.9,125134.683264
2023-01-16 16:00:00,1549.69,1609.7,1538.64,1571.49,146361.442503
2023-01-17 16:00:00,1571.33,1609.37,1531.09,1550.24,126961.624193
2023-01-18 16:00:00,1550.03,1567.48,1497.92,1533.31,194507.803586
2023-01-19 16:00:00,1533.05,1569.54,1521.83,1563.27,83502.792044
2023-01-20 16:00:00,1563.27,1680.0,1561.29,1647.01,238817.610052
2023-01-21 16:00:00,1647.28,1668.57,1602.97,1635.01,118953.045749
2023-01-22 16:00:00,1635.57,1664.71,1583.85,1620.76,129651.086378
2023-01-23 16:00:00,1620.74,1641.58,1602.64,1620.35,95697.766588
2023-01-24 16:00:00,1620.67,1624.79,1512.8,1543.96,205691.988634
2023-01-25 16:00:00,1544.09,1640.02,1541.05,1590.41,190168.32234
2023-01-26 16:00:00,1589.73,1611.83,1552.19,1575.12,113144.471121
2023-01-27 16:00:00,1575.12,1621.59,1563.02,1578.47,74021.064123
2023-01-28 16:00:00,1578.42,1626.99,1555.19,1611.41,97346.461117
2023-01-29 16:00:00,1611.41,1662.41,1566.3,1584.6,178540.593323
2023-01-30 16:00:00,1584.61,1596.18,1530.01,1588.79,106227.202771
2023-01-31 16:00:00,1588.98,1606.0,1563.7,1575.66,79352.82071
2023-02-01 16:00:00,1575.46,1697.78,1555.0,1678.19,207816.75253
2023-02-02 16:00:00,1678.16,1717.77,1625.77,1663.65,170358.970229
2023-02-03 16:00:00,1663.6,1695.0,1642.38,1680.25,87165.037194
2023-02-04 16:00:00,1680.25,1690.02,1635.0,1644.52,85514.073106
2023-02-05 16:00:00,1644.53,1649.5,1608.05,1648.03,121504.570326
2023-02-06 16:00:00,1648.04,1658.65,1604.8,1631.02,86581.237704
2023-02-07 16:00:00,1631.0,1697.99,1624.09,1653.32,132196.9102
2023-02-08 16:00:00,1653.32,1659.94,1609.6,1632.34,123864.523811
2023-02-09 16:00:00,1632.27,1633.8,1504.73,1522.61,230227.081115
2023-02-10 16:00:00,1522.62,1539.26,1486.24,1523.05,100682.650527
2023-02-11 16:00:00,1523.06,1544.27,1504.55,1536.3,51858.232258
2023-02-12 16:00:00,1536.18,1548.0,1463.73,1476.16,166735.290085
2023-02-13 16:00:00,1476.08,1568.82,1461.0,1544.71,203127.97602
2023-02-14 16:00:00,1544.74,1593.05,1533.97,1579.43,131391.822293
2023-02-15 16:00:00,1579.42,1728.68,1573.05,1723.4,238468.476845
2023-02-16 16:00:00,1723.75,1742.47,1630.95,1673.0,168047.993116
2023-02-17 16:00:00,1672.88,1722.02,1662.3,1695.36,88392.358629
2023-02-18 16:00:00,1695.42,1725.28,1679.02,1711.44,57440.152764
2023-02-19 16:00:00,1711.62,1727.0,1650.66,1707.12,107479.096802
2023-02-20 16:00:00,1707.12,1716.55,1658.32,1672.39,87007.12072
2023-02-21 16:00:00,1672.39,1686.66,1605.9,1614.21,123157.747941
2023-02-22 16:00:00,1613.92,1678.63,1593.71,1655.88,127716.047815
2023-02-23 16:00:00,1655.87,1664.34,1600.0,1603.2,92497.663755
2023-02-24 16:00:00,1603.21,1622.9,1573.7,1597.01,104232.438159
2023-02-25 16:00:00,1597.01,1615.8,1557.04,1605.06,63906.675623
2023-02-26 16:00:00,1605.24,1665.07,1598.55,1644.36,85161.753308
2023-02-27 16:00:00,1644.36,1649.51,1607.48,1641.36,72816.513292
2023-02-28 16:00:00,1641.23,1671.28,1593.45,1657.51,104984.226525
2023-03-01 16:00:00,1657.5,1677.85,1618.3,1628.45,98449.215159
2023-03-02 16:00:00,1628.21,1658.11,1520.01,1566.69,203635.457132
2023-03-03 16:00:00,1566.69,1577.33,1547.21,1562.14,58186.720987
2023-03-04 16:00:00,1562.14,1588.93,1549.38,1569.3,58636.428605
2023-03-05 16:00:00,1569.15,1583.36,1554.68,1577.9,57267.890696
2023-03-06 16:00:00,1577.79,1584.21,1532.56,1561.11,96018.681965
2023-03-07 16:00:00,1560.9,1570.64,1540.24,1560.4,78032.347563
2023-03-08 16:00:00,1560.49,1565.0,1520.97,1534.22,88723.563986
2023-03-09 16:00:00,1534.04,1537.97,1368.0,1416.88,379861.114336
2023-03-10 16:00:00,1416.89,1476.99,1400.51,1427.91,375862.701265
2023-03-11 16:00:00,1427.83,1477.77,1422.23,1456.22,183301.149186
2023-03-12 16:00:00,1456.22,1698.0,1454.19,1666.34,384453.558425
2023-03-13 16:00:00,1666.77,1778.39,1647.82,1769.6,296347.786081
2023-03-14 16:00:00,1769.61,1775.32,1626.0,1634.44,265740.055726
2023-03-15 16:00:00,1634.29,1669.58,1610.9,1662.72,162827.798488
2023-03-16 16:00:00,1662.71,1763.35,1652.65,1717.38,171698.646289
2023-03-17 16:00:00,1717.2,1843.14,1709.27,1786.43,171897.189937
2023-03-18 16:00:00,1786.48,1813.81,1746.46,1793.43,112748.898084
2023-03-19 16:00:00,1793.43,1841.0,1736.53,1763.06,182443.719926
2023-03-20 16:00:00,1763.15,1835.58,1717.59,1812.34,152523.568634
2023-03-21 16:00:00,1812.34,1825.71,1774.03,1805.99,113890.68921
2023-03-22 16:00:00,1805.99,1857.92,1710.59,1837.22,247538.401473
2023-03-23 16:00:00,1837.23,1840.84,1720.0,1766.95,211282.120463
2023-03-24 16:00:00,1766.98,1769.92,1726.4,1754.77,100640.720591
2023-03-25 16:00:00,1754.85,1802.0,1713.6,1762.85,122844.420452
2023-03-26 16:00:00,1762.86,1783.14,1686.28,1711.76,120406.553948
2023-03-27 16:00:00,1711.56,1754.72,1696.22,1744.13,103216.438581
2023-03-28 16:00:00,1743.91,1827.5,1726.53,1807.65,143643.156864
2023-03-29 16:00:00,1807.66,1829.78,1765.17,1789.4,127993.216439
2023-03-30 16:00:00,1789.17,1846.75,1762.9,1830.4,154973.789033
2023-03-31 16:00:00,1830.45,1842.84,1812.77,1820.75,64097.817358
2023-04-01 16:00:00,1820.75,1825.78,1789.0,1797.6,48998.918847
2023-04-02 16:00:00,1797.53,1822.0,1763.05,1796.99,91668.092233
2023-04-03 16:00:00,1797.0,1892.27,1768.8,1862.51,212512.093242
2023-04-04 16:00:00,1862.5,1945.94,1857.15,1896.95,146037.687006
2023-04-05 16:00:00,1897.05,1918.22,1854.17,1874.53,93635.515776
2023-04-06 16:00:00,1874.75,1882.69,1840.38,1860.22,69716.002337
2023-04-07 16:00:00,1860.44,1880.18,1851.37,1867.14,51515.483409
2023-04-08 16:00:00,1867.15,1869.63,1822.5,1837.02,77356.186375
2023-04-09 16:00:00,1837.02,1873.32,1835.81,1860.99,51942.815434
2023-04-10 16:00:00,1861.0,1937.64,1857.53,1913.75,119007.967858
2023-04-11 16:00:00,1913.6,1932.44,1851.27,1912.0,141396.273485
2023-04-12 16:00:00,1911.99,2010.85,1893.53,1996.96,167496.901232
2023-04-13 16:00:00,1996.96,2157.51,1991.16,2058.76,222039.620185
2023-04-14 16:00:00,2058.75,2122.29,2041.25,2097.99,80221.053465
2023-04-15 16:00:00,2098.0,2109.82,2072.33,2093.81,51166.54099
2023-04-16 16:00:00,2093.82,2144.67,2056.68,2071.41,120762.163814
2023-04-17 16:00:00,2071.41,2124.66,2050.52,2095.72,71922.630064
2023-04-18 16:00:00,2095.73,2107.69,1941.3,1983.14,232693.962631
2023-04-19 16:00:00,1983.14,1991.57,1917.94,1946.21,156650.442202
2023-04-20 16:00:00,1946.2,1956.79,1890.8,1903.96,179237.008872
2023-04-21 16:00:00,1903.98,1908.72,1823.99,1866.87,149554.287053
2023-04-22 16:00:00,1867.12,1887.75,1847.06,1859.54,60123.002434
2023-04-23 16:00:00,1859.54,1889.99,1826.37,1834.35,115774.583908
2023-04-24 16:00:00,1834.34,1850.82,1800.18,1814.91,113184.405659
2023-04-25 16:00:00,1814.91,1965.0,1812.52,1953.72,194387.114208
2023-04-26 16:00:00,1953.72,1958.45,1783.28,1900.06,343460.242279
2023-04-27 16:00:00,1900.13,1937.7,1875.0,1886.67,85084.690478
2023-04-28 16:00:00,1886.67,1917.66,1883.17,1905.41,37802.913985
2023-04-29 16:00:00,1905.6,1939.42,1883.0,1919.94,49833.361236
2023-04-30 16:00:00,1919.84,1934.2,1823.02,1833.37,148656.474877
2023-05-01 16:00:00,1833.37,1867.87,1806.5,1858.49,122360.12234
2023-05-02 16:00:00,1858.29,1880.0,1842.78,1853.28,61275.272867
2023-05-03 16:00:00,1853.28,1918.43,1850.8,1886.13,94311.947622
2023-05-04 16:00:00,1886.01,1955.92,1866.66,1953.31,101123.849048
2023-05-05 16:00:00,1953.18,2019.0,1852.08,1877.87,218999.071265
2023-05-06 16:00:00,1877.55,1933.2,1876.17,1917.18,94697.411497
2023-05-07 16:00:00,1917.28,1923.58,1835.2,1864.8,176554.351358
2023-05-08 16:00:00,1864.82,1867.24,1810.76,1839.54,96683.605081
2023-05-09 16:00:00,1839.9,1887.56,1834.08,1872.57,118094.753441
2023-05-10 16:00:00,1872.54,1879.69,1785.38,1807.94,211788.666033
2023-05-11 16:00:00,1807.62,1810.38,1737.06,1765.59,126846.966847
2023-05-12 16:00:00,1765.57,1816.76,1742.13,1795.99,87456.442724
2023-05-13 16:00:00,1795.99,1824.27,1785.78,1818.78,57792.284398
2023-05-14 16:00:00,1818.81,1836.31,1784.6,1827.9,92615.302641
2023-05-15 16:00:00,1827.82,1847.94,1796.45,1820.05,79782.217017
